Current Build;FAMILY;STATUS;PLATFORM;FLOW;SITE;USERNAME;TESTCASENAME;Error String;CR;notes;Reference Build;Reference Family;Reference Status;Reference Platform;Reference Flow;Reference Site;Reference User;Reference Error Message
14.2_0606;VIRTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;aurora_tc13_79334_0;ERROR:PhysDesignRules:1644 - Issue with pin connections and/or configuration on;1;;14.2_0605;VIRTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;ERROR:PhysDesignRules:1644 - Issue with pin connections and/or configuration on
14.2_0606;KINTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE;aurora_tc14_94141_0;ERROR: [Vivado 12-1326] Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.;1;;14.2_0605;KINTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE; Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.
14.2_0606;KINTEX7L;PASS;LIN64;COREGENIP;IN;KARTHEE;aurora_tc16_78788_0;ERROR: [Vivado 12-1326] Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.;1;;14.2_0605;KINTEX7L;PASS;LIN64;COREGENIP;IN;KARTHEE; Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.
14.2_0606;KINTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE;aurora_tc17_82800_0;ERROR: [Vivado 12-1326] Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.;1;;14.2_0605;KINTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE; Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.
14.2_0606;VIRTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE;aurora_tc1_26343_0;ERROR: [Vivado 12-1326] Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.;1;;14.2_0605;VIRTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE; Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.
14.2_0606;KINTEX7L;PASS;LIN64;COREGENIP;IN;KARTHEE;aurora_tc20_11088_0;ERROR: [Vivado 12-1326] Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.;1;;14.2_0605;KINTEX7L;PASS;LIN64;COREGENIP;IN;KARTHEE; Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.
14.2_0606;VIRTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE;aurora_tc2_40668_0;ERROR: [Vivado 12-1326] Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.;1;;14.2_0605;VIRTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE; Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.
14.2_0606;VIRTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE;aurora_tc3_19601_0;ERROR: [Vivado 12-1326] Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.;1;;14.2_0605;VIRTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE; Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.
14.2_0606;VIRTEX7L;PASS;LIN64;COREGENIP;IN;KARTHEE;aurora_tc4_80989_0;ERROR: [Vivado 12-1326] Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.;1;;14.2_0605;VIRTEX7L;PASS;LIN64;COREGENIP;IN;KARTHEE; Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.
14.2_0606;VIRTEX7L;PASS;LIN64;COREGENIP;IN;KARTHEE;aurora_tc5_18057_0;ERROR: [Vivado 12-1326] Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.;1;;14.2_0605;VIRTEX7L;PASS;LIN64;COREGENIP;IN;KARTHEE; Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.
